id              name
8123230         MySQL 5.1
8123231         MySQL 5.5
2309423         MySQL Administration
2309427         MySQL Backup/Restore Strategies
2309424         MySQL Configuration & Security
2309422         MySQL Installation
2309425         MySQL Monitoring
2309428         MySQL Store Procedure/Queries programming
2309426         MySQL Tuning
8123235         Percona Benchworks
8123234         Percona LogJam
8123233         Percona Toolkit
8123232         Percona XtraBackup
8123236         Sql-Bench
2309393         Oracle 10g
2309394         Oracle 11g
2309392         Oracle 9i
2309384         Oracle Administration
2309388         Oracle Backup/Restore Strategies
2309385         Oracle Configuration & Security
2309390         Oracle Database replication
2309389         Oracle GRID/RAC
2309383         Oracle Installation
2309386         Oracle Monitoring
2309391         Oracle Store Procedure/Queries programming
2309387         Oracle Tuning
2309416         PostgreSQL Administration
2309420         PostgreSQL Backup/Restore Strategies
2309417         PostgreSQL Configuration & Security
2309415         PostgreSQL Installation
2309418         PostgreSQL Monitoring
2309421         PostgreSQL Store Procedure/Queries programming
2309419         PostgreSQL Tuning
2309409         Progress Administration
2309413         Progress Backup/Restore Strategies
2309410         Progress Configuration & Security
2309408         Progress Installation
2309411         Progress Monitoring
2309414         Progress Store Procedure/Queries programming
2309412         Progress Tuning
76              HP OpenView
2307631         MDX
77              Microsoft Operation Manager (MOM)
78              Quest Central
79              Quest Spotlight
2307632         SQL Server Business Intelligence Development Studio
2307633         SQL Server Configuration Manager
2307634         SQL Server Management Studio
2307635         SQL Server Surface Area Configuration
2307636         SQLite
2307637         Sybase
2307638         Transact-SQL
115             GRE
116             IDS
117             IPSEC
118             L2TP
119             NAT
120             PAT
121             PPTP
122             SSL
123             TLS
146             ATM
147             ETHERNET
148             Frame Relay
149             LOAD BALANCING
150             MPLS
151             RSTP/MSTP
152             VLAN
153             WIFI
154             xDSL
164             IPTABLES
165             NMAP
166             RADIUS
167             TCPDUMP
175             Apache James
176             Exchange Server
177             hMailServer
178             Meldware Mail Server
179             PostFix
180             SendMail
181             Zimbra Collaboration Suite
15332951        MFCobol
15332950        MicroFocus Enterprise Server Administration
15332949        MicroFocus Enterprise Server Installation
190             BIGBROTHER
191             CACTI
192             CISCO WORKS
4434942         Cloud Manager by Globant
193             MRTG
4434941         MUNIN
194             NAGIOS
195             NETFLOW
196             NETQoS
8123241         NewRelic RPM
8123240         RightScale Monitoring
197             SMOKEPING
2985821         SNMPC de Castle Rock
8123239         Zabbix
291             802.1Q
292             ACL
293             BGP
294             EIGRP
295             HSRP/VRRP
296             OSPF
297             QinQ
298             QoS
299             RIP
2309448         Hardware
2309445         Mac
2309439         Office 2003
2309440         Office 2007
2309441         Open Office
2309443         Outlook
2309450         PBX Consola
2309436         Service Desk - Active Directory
2309446         Service Desk - Networking
2309438         Service Desk - Windows Vista
2309437         Service Desk - Windows XP
2309447         SVN Tortoise
2309449         Telefonia IP
2309442         Thunderbird
2309444         Ubuntu
313             Active Directory
314             Terminal Services
2309462         Backup tools (veritas, etc)
10037409        Databases Services
10037411        Databases Services MS-SQL
2309455         DNS
2309463         Exchange 2000/2007
2309451         Installation and configuration
10037410        MarkLogic Databases
2309461         MOM/SCOM
10037412        MS-SQL 2008 Mirroring
2309452         Security
2309460         Windows Cluster Service
2309453         Windows Server Services - Active Directory
2309454         Windows Server Services - IIS
2309457         Windows Server Services - Windows Server 2000
2309458         Windows Server Services - Windows Server 2003
2309459         Windows Server Services - Windows Server 2008
2309456         WINS
522             Event Planning
521             Organizational Environment
520             Travel Administration & Logistics
519             Visas and Work Permits
13              Communications Closure
14              Communications Distribution
15              Communications Planning
16              Communications Reporting
46              Cost Control
47              Cost Estimating
48              Cost Estimating / Tools / UCP Estimating
49              Cost Planning
50              Cost Planning + Control / Tools / P&L
51              Cost Resource Planning
139             Human Resources Acquisition
140             Human Resources Development
141             Human Resources Planning
263             Procurement Contract Administration
264             Procurement Contract Closeout
265             Procurement Planning
266             Procurement Solicitation
267             Procurement Solicitation Planning
268             Procurement Source Selection
283             Quality Assurance
284             Quality Control
285             Quality QA Planning
286             Risk Control
287             Risk Identification
288             Risk Planning
289             Risk Qualitative Analysis
290             Risk Quantitative Analysis
300             Scope Change Control
301             Scope Definition
302             Scope Initiation
303             Scope Planning
304             Scope Verification
13888797        Scrum Master
349             Time Definition
350             Time Duration Estimating
351             Time Schedule Control
352             Time Schedule Development
353             Time Schedule Development + Control / Tools / PServer
354             Time Sequencing
515             Commercial Proposals
518             Development of Business Opportunities
517             Functional Analysis for Presales
516             Sales Support
525             Assessment Center
523             Generation of Recruitment Sources
687             Negotiation
524             Resume Analysis
526             Salary Proposals
7829174         Infragistics controls (Winforms)
7829175         Infragistics controls (WPF)
15120622        Telerik
610             Compact Framework 1.0
611             Compact Framework 2.0
612             Framework 1.0/1.1
613             Framework 2.0
614             Framework 3.0/3.5
15120617        Framework 4.0,Framework 4.5
615             ADO.NET
7223807         ASP.NET
616             Caching Application Block
14538809        ClosedXML
7829169         Composite Application Block (CAB)
617             Cryptography Application Block
618             Data Access Application Block
619             Exception Handling Application Block
620             Logging Application Block
7829171         Managed Add-InFramework
14538810        MVVM Light
7223804         Nails
14538808        OpenXML
3055934         Silverlight
7829172         StructureMap
7223805         Unity
17767652        vsto - visual studio tools for office
621             Windows Communication Foundation (WCF)
622             Windows Presentation Foundation (WPF)
623             Windows WorkFlow Foundation (WWF)
7223806         Winforms
15120619        ASP.NET Web API
16700219        Google Mirror API
16700220        Leap Motion API
